Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	1368	17	0	3	1	2
0	58	0	1373	465	0	25	13	12
0	58	0	1374	100	0	0	0	0
0	58	0	1376	89	0	8	6	2
0	58	0	1377	438	0	29	15	14
0	58	0	1378	5	0	9	3	6
0	58	0	1380	17	0	7	2	5
0	58	0	1390	14	0	0	0	0
0	58	0	1395	64	0	10	2	8
0	58	0	1408	15	0	0	0	0
0	58	0	1417	8	0	9	4	5
0	58	0	1421	17	0	0	0	0
0	58	0	1425	13	0	0	0	0
0	58	0	1429	6	0	0	0	0
0	58	0	1430	6	0	4	4	0
0	58	0	1436	9	0	0	0	0
0	58	0	1442	3945	0	291	147	144
0	58	0	1445	16	0	19	10	9
0	58	0	1449	12	0	0	0	0
0	58	0	1459	143	0	20	14	6
0	58	0	1460	18	0	4	2	2
0	58	0	1462	8	0	0	0	0
0	58	0	1466	17	0	2	1	1
0	58	0	1468	13	0	0	0	0
0	58	0	1470	19	0	3	3	0
0	58	0	1477	5	0	10	3	7
0	58	0	1480	247	0	25	14	11
0	58	0	1487	51	0	8	3	5
0	58	0	1493	192	0	18	7	11
0	58	0	1497	1765	0	166	92	74
0	58	0	1499	9	0	0	0	0
0	58	0	1500	50	0	0	0	0
0	58	0	1510	46	0	7	2	5
0	58	0	1511	107	0	11	9	2
0	58	0	1517	12	0	0	0	0
0	58	0	1518	10	0	1	1	0
0	58	0	1522	57	0	0	0	0
0	58	0	1526	108	0	33	19	14
0	58	0	1529	39	0	21	10	11
0	58	0	1533	38	0	13	9	4
0	58	0	1537	78	0	3	2	1
0	58	0	1545	81	0	12	9	3
0	58	0	1553	8	0	1	1	0
0	58	0	1555	1404	0	88	51	37
0	58	0	1556	27	0	0	0	0
0	58	0	1559	11	0	3	1	2
0	58	0	1560	152	0	14	5	9
0	58	0	1561	11	0	1	1	0
0	58	0	1569	12	0	1	1	0
0	58	0	1572	25	0	4	1	3
0	58	0	1584	2787	0	216	106	110
0	58	0	1586	5	0	3	3	0
0	58	0	1591	134	0	7	3	4
0	58	0	1592	31	0	0	0	0
0	58	0	1594	5	0	0	0	0
0	58	0	1596	7	0	3	2	1
0	58	0	1597	34	0	27	12	15
