PatchID0,PatchID1,MeanD,Tree_disease,Management,Replicate,method
764,1497,0.882678,70,40,1,RS
764,1555,0.915791,70,40,1,RS
764,1673,0.829586,70,40,1,RS
764,2097,0.815433,70,40,1,RS
892,970,0.906151,70,40,1,RS
892,1182,0.736929,70,40,1,RS
892,1306,0.881907,70,40,1,RS
892,1442,0.851303,70,40,1,RS
892,1497,0.919707,70,40,1,RS
892,1555,0.772589,70,40,1,RS
892,1673,0.933423,70,40,1,RS
892,2097,0.930453,70,40,1,RS
970,1182,0.795903,70,40,1,RS
970,1306,0.924776,70,40,1,RS
970,1442,0.84287,70,40,1,RS
970,1497,0.951728,70,40,1,RS
970,1555,0.868578,70,40,1,RS
970,1673,0.89769,70,40,1,RS
970,2097,0.939098,70,40,1,RS
1182,1306,0.89263,70,40,1,RS
1182,1442,0.521488,70,40,1,RS
1182,1497,0.942442,70,40,1,RS
1182,1555,0.771394,70,40,1,RS
1182,1673,0.900356,70,40,1,RS
1182,2097,0.922473,70,40,1,RS
1306,1442,0.979304,70,40,1,RS
1306,1497,0.863496,70,40,1,RS
1306,1555,0.886697,70,40,1,RS
1306,1673,0.959794,70,40,1,RS
1306,2097,0.840216,70,40,1,RS
1442,1497,0.929346,70,40,1,RS
1442,1555,0.903864,70,40,1,RS
1442,1673,0.896607,70,40,1,RS
1442,2097,0.92792,70,40,1,RS
1497,1555,0.936723,70,40,1,RS
1497,1673,1,70,40,1,RS
1497,2097,0.95348,70,40,1,RS
1555,1673,0.892724,70,40,1,RS
1555,2097,0.90556,70,40,1,RS
1673,2097,0.943158,70,40,1,RS
90,248,0.97695,70,80,1,RS
90,525,0.926214,70,80,1,RS
90,622,0.867259,70,80,1,RS
90,764,0.895429,70,80,1,RS
90,892,0.817525,70,80,1,RS
90,970,0.873856,70,80,1,RS
90,1182,0.981544,70,80,1,RS
90,1306,0.882483,70,80,1,RS
90,1442,0.946959,70,80,1,RS
90,1497,0.953993,70,80,1,RS
90,1555,0.945587,70,80,1,RS
90,1673,0.933423,70,80,1,RS
90,2097,0.826519,70,80,1,RS
248,525,0.941101,70,80,1,RS
248,622,0.9581,70,80,1,RS
248,764,0.946635,70,80,1,RS
248,892,1,70,80,1,RS
248,970,0.933333,70,80,1,RS
248,1182,0.877655,70,80,1,RS
248,1306,0.933333,70,80,1,RS
248,1442,0.920626,70,80,1,RS
248,1497,0.922495,70,80,1,RS
248,1555,0.976774,70,80,1,RS
248,1673,0.933333,70,80,1,RS
248,2097,0.915287,70,80,1,RS
525,622,0.991682,70,80,1,RS
525,764,0.889642,70,80,1,RS
525,892,0.963035,70,80,1,RS
525,970,0.981733,70,80,1,RS
525,1182,0.90293,70,80,1,RS
525,1306,0.867232,70,80,1,RS
525,1442,0.877867,70,80,1,RS
525,1497,0.919128,70,80,1,RS
525,1555,0.86699,70,80,1,RS
525,1673,0.91694,70,80,1,RS
525,2097,0.995604,70,80,1,RS
622,764,0.954212,70,80,1,RS
622,892,1,70,80,1,RS
622,970,0.999405,70,80,1,RS
622,1182,0.932578,70,80,1,RS
622,1306,0.933333,70,80,1,RS
622,1442,0.921541,70,80,1,RS
622,1497,0.847495,70,80,1,RS
622,1555,0.94938,70,80,1,RS
622,1673,0.859633,70,80,1,RS
622,2097,0.793369,70,80,1,RS
764,892,0.924314,70,80,1,RS
764,970,0.918063,70,80,1,RS
764,1182,0.764617,70,80,1,RS
764,1306,0.911923,70,80,1,RS
764,1442,0.766853,70,80,1,RS
764,1497,0.927592,70,80,1,RS
764,1555,0.848989,70,80,1,RS
764,1673,0.909366,70,80,1,RS
764,2097,0.950894,70,80,1,RS
892,970,0.933333,70,80,1,RS
892,1182,0.858648,70,80,1,RS
892,1306,0.947435,70,80,1,RS
892,1442,0.875222,70,80,1,RS
892,1497,0.828582,70,80,1,RS
892,1555,1,70,80,1,RS
892,1673,0.950681,70,80,1,RS
892,2097,0.926185,70,80,1,RS
970,1182,0.927538,70,80,1,RS
970,1306,0.889926,70,80,1,RS
970,1442,0.910837,70,80,1,RS
970,1497,0.985658,70,80,1,RS
970,1555,0.914858,70,80,1,RS
970,1673,0.824117,70,80,1,RS
970,2097,0.960681,70,80,1,RS
1182,1306,0.870931,70,80,1,RS
1182,1442,0.494664,70,80,1,RS
1182,1497,0.921491,70,80,1,RS
1182,1555,0.911451,70,80,1,RS
1182,1673,0.84506,70,80,1,RS
1182,2097,0.917724,70,80,1,RS
1306,1442,0.893669,70,80,1,RS
1306,1497,0.986525,70,80,1,RS
1306,1555,0.881783,70,80,1,RS
1306,1673,1,70,80,1,RS
1306,2097,0.98388,70,80,1,RS
1442,1497,0.934291,70,80,1,RS
1442,1555,0.927967,70,80,1,RS
1442,1673,0.94749,70,80,1,RS
1442,2097,0.883374,70,80,1,RS
1497,1555,0.860862,70,80,1,RS
1497,1673,0.879871,70,80,1,RS
1497,2097,0.883272,70,80,1,RS
1555,1673,1,70,80,1,RS
1555,2097,0.942222,70,80,1,RS
1673,2097,0.995393,70,80,1,RS
90,248,0.937968,80,0,1,RS
90,525,0.947123,80,0,1,RS
90,764,0.963317,80,0,1,RS
90,892,0.915066,80,0,1,RS
90,970,0.933333,80,0,1,RS
90,1182,0.895101,80,0,1,RS
90,1306,0.976954,80,0,1,RS
90,1442,0.907376,80,0,1,RS
90,1497,0.915927,80,0,1,RS
90,1555,0.878971,80,0,1,RS
90,1673,0.866667,80,0,1,RS
90,2097,0.910134,80,0,1,RS
248,525,0.939108,80,0,1,RS
248,764,0.848321,80,0,1,RS
248,892,1,80,0,1,RS
248,970,0.933333,80,0,1,RS
248,1182,0.887324,80,0,1,RS
248,1306,0.919618,80,0,1,RS
248,1442,0.909182,80,0,1,RS
248,1497,0.949339,80,0,1,RS
248,1555,0.822154,80,0,1,RS
248,1673,0.83864,80,0,1,RS
248,2097,0.933333,80,0,1,RS
525,764,0.959804,80,0,1,RS
525,892,0.974057,80,0,1,RS
525,970,0.923336,80,0,1,RS
525,1182,0.921162,80,0,1,RS
525,1306,0.948684,80,0,1,RS
525,1442,0.786656,80,0,1,RS
525,1497,0.879349,80,0,1,RS
525,1555,0.953738,80,0,1,RS
525,1673,0.955596,80,0,1,RS
525,2097,0.993293,80,0,1,RS
764,892,0.990216,80,0,1,RS
764,970,0.7336,80,0,1,RS
764,1182,0.803173,80,0,1,RS
764,1306,0.894612,80,0,1,RS
764,1442,0.870793,80,0,1,RS
764,1497,0.898294,80,0,1,RS
764,1555,0.819396,80,0,1,RS
764,1673,0.911476,80,0,1,RS
764,2097,0.904625,80,0,1,RS
892,970,0.933333,80,0,1,RS
892,1182,0.949975,80,0,1,RS
892,1306,0.934296,80,0,1,RS
892,1442,0.875367,80,0,1,RS
892,1497,1,80,0,1,RS
892,1555,0.87088,80,0,1,RS
892,1673,0.933333,80,0,1,RS
892,2097,1,80,0,1,RS
970,1182,0.895288,80,0,1,RS
970,1306,0.933968,80,0,1,RS
970,1442,0.931691,80,0,1,RS
970,1497,1,80,0,1,RS
970,1555,0.710171,80,0,1,RS
970,1673,0.972038,80,0,1,RS
970,2097,1,80,0,1,RS
1182,1306,0.907418,80,0,1,RS
1182,1442,0.505349,80,0,1,RS
1182,1497,0.883157,80,0,1,RS
1182,1555,0.922623,80,0,1,RS
1182,1673,0.958168,80,0,1,RS
1182,2097,0.918811,80,0,1,RS
1306,1442,0.899025,80,0,1,RS
1306,1497,0.996583,80,0,1,RS
1306,1555,0.932247,80,0,1,RS
1306,1673,0.999029,80,0,1,RS
1306,2097,0.933333,80,0,1,RS
1442,1497,0.934465,80,0,1,RS
1442,1555,0.847167,80,0,1,RS
1442,1673,0.939158,80,0,1,RS
1442,2097,0.956307,80,0,1,RS
1497,1555,0.927327,80,0,1,RS
1497,1673,0.878743,80,0,1,RS
1497,2097,0.899099,80,0,1,RS
1555,1673,0.894267,80,0,1,RS
1555,2097,0.933333,80,0,1,RS
1673,2097,0.894907,80,0,1,RS
90,248,0.975181,80,40,1,RS
90,525,0.925218,80,40,1,RS
90,764,0.859373,80,40,1,RS
90,892,0.902847,80,40,1,RS
90,1182,0.939747,80,40,1,RS
90,1306,0.984049,80,40,1,RS
90,1442,0.875834,80,40,1,RS
90,1497,0.907313,80,40,1,RS
90,1555,0.8691,80,40,1,RS
90,1673,0.934331,80,40,1,RS
90,2097,0.965701,80,40,1,RS
248,525,0.933555,80,40,1,RS
248,764,0.988933,80,40,1,RS
248,892,1,80,40,1,RS
248,1182,0.839091,80,40,1,RS
248,1306,0.933333,80,40,1,RS
