"","PatchID0","PatchID1","FST","Tree_disease","Management","Replicate","method"
"10962","1182","1442",0.174494,"70","40",1,"RS"
"10972","1182","1497",0.359221,"70","40",1,"RS"
"10982","1182","1555",0.387797,"70","40",1,"RS"
"10992","1182","1673",0.522229,"70","40",1,"RS"
"11002","1182","2097",0.421293,"70","40",1,"RS"
"11012","1306","1442",0.599875,"70","40",1,"RS"
"11022","1306","1497",0.651251,"70","40",1,"RS"
"11032","1306","1555",0.734933,"70","40",1,"RS"
"11042","1306","1673",0.85956,"70","40",1,"RS"
"11052","1306","2097",0.72343,"70","40",1,"RS"
"11062","1442","1497",0.402921,"70","40",1,"RS"
"11072","1442","1555",0.47208,"70","40",1,"RS"
"11082","1442","1673",0.573331,"70","40",1,"RS"
"11092","1442","2097",0.477629,"70","40",1,"RS"
"11102","1497","1555",0.559324,"70","40",1,"RS"
"11112","1497","1673",0.673991,"70","40",1,"RS"
"11122","1497","2097",0.55849,"70","40",1,"RS"
"11132","1555","1673",0.731107,"70","40",1,"RS"
"11142","1555","2097",0.622018,"70","40",1,"RS"
"11152","1673","2097",0.739093,"70","40",1,"RS"
"10253","90","248",0.826697,"70","80",1,"RS"
"10263","90","525",0.637314,"70","80",1,"RS"
"10273","90","622",0.762483,"70","80",1,"RS"
"10283","90","764",0.509917,"70","80",1,"RS"
"10293","90","892",0.754918,"70","80",1,"RS"
"10303","90","970",0.806094,"70","80",1,"RS"
"10313","90","1182",0.490698,"70","80",1,"RS"
"10323","90","1306",0.8079,"70","80",1,"RS"
"10333","90","1442",0.490372,"70","80",1,"RS"
"10343","90","1497",0.635906,"70","80",1,"RS"
"10353","90","1555",0.623461,"70","80",1,"RS"
"10363","90","1673",0.80221,"70","80",1,"RS"
"10373","90","2097",0.625325,"70","80",1,"RS"
"10383","248","525",0.756696,"70","80",1,"RS"
"10393","248","622",0.889447,"70","80",1,"RS"
"10403","248","764",0.624462,"70","80",1,"RS"
"10413","248","892",0.926886,"70","80",1,"RS"
"10423","248","970",0.933746,"70","80",1,"RS"
"10433","248","1182",0.571273,"70","80",1,"RS"
"10443","248","1306",0.933747,"70","80",1,"RS"
"10453","248","1442",0.589766,"70","80",1,"RS"
"10463","248","1497",0.739379,"70","80",1,"RS"
"10473","248","1555",0.740278,"70","80",1,"RS"
"10483","248","1673",0.919112,"70","80",1,"RS"
"10493","248","2097",0.754952,"70","80",1,"RS"
"10503","525","622",0.720909,"70","80",1,"RS"
"10513","525","764",0.442866,"70","80",1,"RS"
"10523","525","892",0.709853,"70","80",1,"RS"
"10533","525","970",0.762935,"70","80",1,"RS"
"10543","525","1182",0.411838,"70","80",1,"RS"
"10553","525","1306",0.733133,"70","80",1,"RS"
"10563","525","1442",0.41151,"70","80",1,"RS"
"10573","525","1497",0.571251,"70","80",1,"RS"
"10583","525","1555",0.542848,"70","80",1,"RS"
"10593","525","1673",0.736468,"70","80",1,"RS"
"10603","525","2097",0.602378,"70","80",1,"RS"
"10613","622","764",0.582983,"70","80",1,"RS"
"10623","622","892",0.865763,"70","80",1,"RS"
