Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	1376	89	0	15	8	7
0	58	0	1377	438	0	30	19	11
0	58	0	1378	5	0	8	4	4
0	58	0	1380	17	0	11	8	3
0	58	0	1390	14	0	0	0	0
0	58	0	1395	64	0	10	3	7
0	58	0	1408	15	0	0	0	0
0	58	0	1417	8	0	6	3	3
0	58	0	1421	17	0	0	0	0
0	58	0	1425	13	0	0	0	0
0	58	0	1429	6	0	0	0	0
0	58	0	1430	6	0	8	3	5
0	58	0	1436	9	0	0	0	0
0	58	0	1442	3945	0	404	204	200
0	58	0	1445	16	0	16	8	8
0	58	0	1449	12	0	0	0	0
0	58	0	1453	10	0	0	0	0
0	58	0	1459	143	0	5	0	5
0	58	0	1460	18	0	7	4	3
0	58	0	1462	8	0	0	0	0
0	58	0	1466	17	0	0	0	0
0	58	0	1468	13	0	0	0	0
0	58	0	1470	19	0	1	1	0
0	58	0	1477	5	0	0	0	0
0	58	0	1480	247	0	23	12	11
0	58	0	1487	51	0	2	1	1
0	58	0	1493	192	0	20	8	12
0	58	0	1497	1765	0	154	75	79
0	58	0	1499	9	0	0	0	0
0	58	0	1500	50	0	0	0	0
0	58	0	1510	46	0	8	5	3
0	58	0	1511	107	0	20	13	7
0	58	0	1517	12	0	0	0	0
0	58	0	1518	10	0	5	2	3
0	58	0	1522	57	0	0	0	0
0	58	0	1526	108	0	14	9	5
0	58	0	1529	39	0	29	16	13
0	58	0	1533	38	0	21	13	8
0	58	0	1537	78	0	8	3	5
0	58	0	1545	81	0	10	5	5
0	58	0	1553	8	0	0	0	0
0	58	0	1555	1404	0	108	58	50
0	58	0	1556	27	0	0	0	0
0	58	0	1559	11	0	5	4	1
0	58	0	1560	152	0	22	8	14
0	58	0	1561	11	0	0	0	0
0	58	0	1569	12	0	2	1	1
0	58	0	1572	25	0	3	2	1
0	58	0	1584	2787	0	237	128	109
0	58	0	1586	5	0	2	2	0
0	58	0	1591	134	0	6	5	1
0	58	0	1592	31	0	1	1	0
0	58	0	1594	5	0	0	0	0
0	58	0	1596	7	0	0	0	0
0	58	0	1597	34	0	19	10	9
0	58	0	1599	10	0	0	0	0
0	58	0	1601	5	0	0	0	0
0	58	0	1602	60	0	0	0	0
0	58	0	1605	47	0	2	0	2
0	58	0	1607	7	0	2	1	1
0	58	0	1608	23	0	0	0	0
0	58	0	1611	31	0	13	5	8
0	58	0	1615	5	0	0	0	0
0	58	0	1617	26	0	8	4	4
0	58	0	1619	30	0	0	0	0
0	58	0	1621	55	0	0	0	0
0	58	0	1622	5	0	1	1	0
0	58	0	1624	26	0	0	0	0
0	58	0	1627	380	0	29	15	14
0	58	0	1632	15	0	0	0	0
0	58	0	1635	6	0	1	1	0
0	58	0	1650	39	0	0	0	0
0	58	0	1654	56	0	0	0	0
0	58	0	1655	10	0	0	0	0
0	58	0	1656	14	0	9	4	5
0	58	0	1663	8	0	1	1	0
0	58	0	1666	16	0	0	0	0
0	58	0	1673	661	0	51	20	31
0	58	0	1674	25	0	0	0	0
0	58	0	1677	9	0	0	0	0
0	58	0	1678	44	0	8	3	5
0	58	0	1682	14	0	3	2	1
0	58	0	1684	12	0	7	4	3
0	58	0	1693	16	0	5	3	2
0	58	0	1694	11	0	33	16	17
0	58	0	1696	5	0	13	9	4
0	58	0	1697	11	0	0	0	0
0	58	0	1698	8	0	0	0	0
0	58	0	1701	40	0	18	8	10
0	58	0	1704	163	0	21	15	6
0	58	0	1709	18	0	0	0	0
0	58	0	1720	103	0	5	1	4
0	58	0	1721	11	0	0	0	0
0	58	0	1726	16	0	0	0	0
0	58	0	1730	24	0	8	4	4
0	58	0	1731	9	0	0	0	0
0	58	0	1732	33	0	0	0	0
0	58	0	1738	19	0	4	1	3
0	58	0	1740	28	0	0	0	0
0	58	0	1741	3190	0	270	139	131
0	58	0	1745	14	0	0	0	0
0	58	0	1758	13	0	9	5	4
0	58	0	1761	24	0	8	5	3
