Event,Number,Reps,Years,Time
Simulation,6,2,61,197
Simulation,7,2,61,83
Simulation,8,2,61,125
Simulation,9,2,61,166
Simulation,10,2,61,74
Simulation,11,2,61,117
Simulation,12,2,61,163
Simulation,13,2,61,68
Simulation,14,2,61,108
Simulation,15,2,61,146
Simulation,16,2,61,65
Simulation,17,2,61,98
Simulation,18,2,61,134
Simulation,19,2,61,61
Simulation,20,2,61,102
Simulation,21,2,61,143
Simulation,22,2,61,57
Simulation,23,2,61,90
Simulation,24,2,61,128
Simulation,25,2,61,54
Simulation,26,2,61,86
Simulation,27,2,61,117
Landscape,23,,,1
Simulation,1,2,61,85
Simulation,2,2,61,128
Simulation,3,2,61,179
Simulation,4,2,61,74
Simulation,5,2,61,116
Simulation,6,2,61,158
Simulation,7,2,61,70
Simulation,8,2,61,105
Simulation,9,2,61,143
Simulation,10,2,61,64
Simulation,11,2,61,99
Simulation,12,2,61,137
Simulation,13,2,61,58
Simulation,14,2,61,89
Simulation,15,2,61,125
Simulation,16,2,61,53
Simulation,17,2,61,83
Simulation,18,2,61,116
Simulation,19,2,61,56
Simulation,20,2,61,83
Simulation,21,2,61,116
Simulation,22,2,61,50
Simulation,23,2,61,77
Simulation,24,2,61,103
Simulation,25,2,61,46
Simulation,26,2,61,71
Simulation,27,2,61,101
Landscape,24,,,2
Simulation,1,2,61,85
Simulation,2,2,61,130
Simulation,3,2,61,179
Simulation,4,2,61,73
Simulation,5,2,61,113
Simulation,6,2,61,151
Simulation,7,2,61,67
Simulation,8,2,61,103
Simulation,9,2,61,141
Simulation,10,2,61,61
Simulation,11,2,61,99
Simulation,12,2,61,135
Simulation,13,2,61,58
Simulation,14,2,61,91
Simulation,15,2,61,122
Simulation,16,2,61,56
Simulation,17,2,61,82
Simulation,18,2,61,113
Simulation,19,2,61,53
Simulation,20,2,61,84
Simulation,21,2,61,118
Simulation,22,2,61,48
Simulation,23,2,61,77
Simulation,24,2,61,106
Simulation,25,2,61,47
Simulation,26,2,61,72
Simulation,27,2,61,98
Landscape,25,,,1
Simulation,1,2,61,85
Simulation,2,2,61,128
Simulation,3,2,61,171
Simulation,4,2,61,73
Simulation,5,2,61,110
Simulation,6,2,61,155
Simulation,7,2,61,69
Simulation,8,2,61,103
Simulation,9,2,61,142
Simulation,10,2,61,62
Simulation,11,2,61,95
Simulation,12,2,61,135
Simulation,13,2,61,57
Simulation,14,2,61,87
Simulation,15,2,61,121
Simulation,16,2,61,54
Simulation,17,2,61,81
Simulation,18,2,61,112
Simulation,19,2,61,53
Simulation,20,2,61,82
Simulation,21,2,61,115
Simulation,22,2,61,49
Simulation,23,2,61,76
Simulation,24,2,61,97
Simulation,25,2,61,40
Simulation,26,2,61,60
Simulation,27,2,61,76

Batch,,,,127958
