PatchID	Year_0	Year_2	Year_4	Year_6	Year_8	Year_10	Year_12	Year_14	Year_16	Year_18	Year_20	Year_22	Year_24	Year_26	Year_28	Year_30	Year_32	Year_34	Year_36	Year_38	Year_40	Year_42	Year_44	Year_46	Year_48	Year_50	Year_52	Year_54	Year_56	Year_58	Year_60
338	0	1	1	1	0.5	0.5	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
339	0	1	1	0.5	1	0.5	1	0.5	0.5	1	1	1	0.5	0.5	1	1	1	1	1	0.5	0.5	1	1	0	0.5	1	0.5	1	1	0	1
342	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
350	1	1	1	1	1	0.5	1	1	1	0.5	1	0.5	1	0.5	1	1	0.5	1	1	1	1	1	0.5	0.5	0.5	1	1	1	1	1	0.5
352	0	0.5	0	0	0	0.5	0	0	0.5	1	0	0	0	0	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0.5	0	0	0	0	0.5	0	0.5
360	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
367	1	1	0	0	0	0	0.5	0.5	1	0.5	0	0	0	0	0	0.5	1	1	1	0.5	0.5	0	0.5	0	0.5	0	0.5	0.5	0.5	0.5	0.5
369	0	0	0	0	0.5	0.5	0	0.5	0.5	1	0.5	0.5	0	1	0.5	0	0	0	0	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0
375	0	0.5	0	0.5	0	0	0.5	0.5	0	0.5	1	1	0.5	0	0	0.5	0	1	0.5	0.5	1	0	0	0	0	0.5	0	0	0.5	1	0.5
382	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	1	1	1	0.5	0	0	0.5	1	0.5	0	0	0	0	0	0.5	0	0.5	1	0.5
383	0	0	0	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0.5	1	0.5	0	0	0.5	0	0.5	0.5	0
388	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
391	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
392	0	0.5	0.5	0	1	0.5	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5	0	0.5	0.5	1	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0.5
393	0	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	0	0.5	0.5	0	0	0	0.5	1	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	1
399	0	1	0.5	1	1	1	0.5	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	0.5	1	1	1	1	1	0.5	0.5	1	1	1	1	1	1
401	0	1	1	0.5	1	1	1	1	0.5	1	1	1	1	1	1	0.5	0.5	1	0	0.5	0.5	1	1	0.5	1	1	1	1	1	0.5	1
406	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
408	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
412	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
416	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
417	0	0	0.5	1	0	0	1	1	1	0	0.5	1	0.5	1	1	0.5	0.5	0.5	1	0	1	0	0.5	0	0.5	0	0	1	1	1	1
418	0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0
419	1	1	1	1	1	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
422	0	0.5	1	1	0.5	1	0.5	1	1	1	1	0.5	1	0.5	1	1	0.5	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1
423	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
425	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
428	0.5	0	0.5	0.5	0.5	1	0.5	0.5	0	0	0	0	0	0.5	0.5	0.5	1	0.5	0.5	0	0.5	0.5	1	0.5	0	0	0	0	0.5	0.5	0.5
429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
435	0	0.5	0	0.5	0.5	0.5	0	0	0	0	0	0.5	0.5	0	1	0	0	0.5	0	1	0	0.5	0	0.5	0	1	0	0.5	0.5	0.5	0.5
436	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1
437	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
439	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
440	0	1	0	0	0	0	0.5	0.5	0	0	0	0.5	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0
441	0	0.5	0.5	0	1	0	0.5	1	1	0	0.5	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	1	0.5	1	0.5	0.5	0	1	1	1	0.5
443	1	1	1	1	0.5	1	0.5	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5
445	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0
449	0	1	1	1	1	0.5	0	0.5	0.5	1	1	1	0.5	0.5	1	1	0.5	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0.5	0	0.5
450	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
457	0	1	1	0.5	1	1	1	1	0.5	1	1	1	1	1	0.5	1	1	0.5	0.5	1	1	0.5	0.5	1	1	1	1	0.5	1	0.5	1
460	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1
468	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
470	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0
474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
481	1	1	1	1	1	1	1	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
487	0	0	0.5	0.5	0.5	0	0	0.5	1	0	0	0.5	0.5	0	0.5	0.5	0	0.5	1	0.5	0.5	1	0	1	0	0	0.5	0.5	1	0	0.5
488	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
490	0	0	0.5	1	1	1	0.5	0	0.5	1	1	1	0.5	0.5	1	0.5	0.5	0.5	0	0	0	0	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0
492	0	1	1	0.5	0.5	1	1	1	1	1	0	1	0.5	1	0.5	0.5	0.5	0.5	1	0.5	1	0.5	1	1	1	0.5	0	1	1	0.5	1
494	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1
495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
497	0	0.5	0.5	1	0.5	0	0.5	0	0	0.5	0	0.5	0	0.5	0	0	0.5	0.5	1	0.5	0.5	0	0.5	0	0	0	0	0.5	0	1	0
503	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0
504	0	0.5	0.5	0.5	1	0.5	0	1	1	0.5	1	0	0.5	0	0.5	1	1	1	1	1	0.5	1	1	0.5	1	0.5	0.5	0.5	0.5	0.5	1
505	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
511	0	0.5	0.5	1	0	0.5	0	0.5	1	1	0.5	0.5	1	0	0.5	1	0.5	0.5	1	0.5	1	1	0.5	0.5	0	0	0	0	1	1	0.5
513	0	1	1	0.5	0.5	0.5	0.5	0.5	1	0.5	1	0.5	0.5	0.5	0.5	1	1	1	1	0.5	1	0.5	1	0	0	0.5	0.5	0	0.5	0	0
514	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
515	0	0.5	0.5	1	1	0.5	0.5	1	1	0.5	0.5	0	1	1	0.5	0.5	0.5	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0
